State,republican_pct,Economy_salience,Foreign_Policy_salience,Governance_Democracy_salience,Immigration_salience,Public_Health_salience,Social_Issues_salience
Alabama,0.8210285132382892,0.31089318225502033,0.611693859504228,0.6528034897641793,0.5962441233875105,0.13114945993149732,0.522852367064567
Alaska,0.5656822810590632,0.7683912675925566,0.861144811944387,0.5873790445760052,0.47528672655872417,0.03038375879508375,0.551456003830091
Arizona,0.5066191446028514,0.22423434875502327,0.32399256096192974,0.38307545419494515,0.9318537572306288,0.1575780780579613,0.5587373526620675
Arkansas,0.8116089613034625,0.5566492133083787,0.22292021545634796,0.2977345921142198,0.7062177494586803,0.20897859275412636,0.2610048832215208
California,0.15300407331975557,0.5088830532040994,0.6763786079204741,0.3952146534627951,0.4727294530427854,0.1280733775577997,0.7241355394877106
Colorado,0.27545824847250516,0.5939055089257755,0.48047823437976983,0.4957542880950576,0.6705705118968972,0.15771129834928888,0.39938656321175453
Connecticut,0.24363543788187378,0.5726192432695251,0.3515762803142687,0.3650255937128575,0.449835538645224,0.05150755793592394,0.5490080259155615
Delaware,0.24108961303462323,0.2865304874978103,0.137750402003055,0.11838073534656621,0.22886779725979484,0.025275804159632546,0.5461777901116701
Florida,0.6051425661914462,0.24908742212007487,0.4698478021667466,0.3497099528794476,0.8018072312043264,0.20715166853376565,0.4000464838564233
Georgia,0.46843177189409374,0.46525060624859005,0.26278760686744057,0.35432523915996167,0.43274302442882917,0.15298468338721483,0.910029494444308
Hawaii,0.1313645621181262,0.5222402888801049,0.5717077012046986,0.48634670017458953,0.9283896176738387,0.20065735958634345,0.34332791849267674
Idaho,0.8795824847250512,0.5595540271727986,0.42785463187596995,0.5829637681880194,0.8492379031228747,0.11894660443193397,0.45019548973359164
Illinois,0.2838594704684318,0.522662084670029,0.38947680973501136,0.21567588109278218,0.4265550518695628,0.1090438650976256,0.5117253934556832
Indiana,0.6685336048879837,0.4184241205767139,0.2780390471427341,0.334092763438251,0.3388435752432545,0.1530899371297953,0.49926292746907575
Iowa,0.5959775967413442,0.5225772207516942,0.16792555547818908,0.44127784578081186,0.3734473028322844,0.16953279358522036,0.599844669180773
Kansas,0.6323828920570265,0.43815886487049166,0.28290963723373214,0.5191126895304593,0.6471335399478972,0.15289183933575357,0.5000242867527757
Kentucky,0.8184826883910388,0.2872930576685347,0.3992009019375361,0.2627166187389244,0.4898163395040156,0.15073009012107538,0.4760748530550697
Louisiana,0.7102851323828921,0.4666531387734655,0.4011072095083987,0.4317831262057048,0.8006730647539605,0.17750953149283805,0.7426188728205732
Maine,0.33452138492871697,0.3093475919025977,0.5897143636960013,0.3301502594890534,0.7119706445993272,0.14337808573707655,1.0
Maryland,0.044806517311608916,0.6111876194232914,0.527707527560116,0.46227373321575177,0.30268795460052766,0.1051652297262265,0.7158083846558653
Massachusetts,0.09419551934826892,0.7273495999133454,0.6128106223788145,0.330756520361448,0.5568279035566237,0.3449431174954503,0.5439256449937213
Michigan,0.4432281059063136,0.45489130280521073,0.4678036373355911,0.41946965760598864,0.3874634900735514,0.2186991642544909,0.42021658188064337
Minnesota,0.36558044806517315,0.49563864799473106,0.3684935772075684,0.40856127122676844,0.24604338435810663,0.1640287089769342,0.5242815487512422
Mississippi,0.7273421588594706,0.2996168609943953,0.1982771539882687,0.2676409203506462,0.7922222906317576,0.1298155690044343,0.8999317390832531
Missouri,0.6662423625254584,0.1875754627766758,0.3449250802166282,0.4271554789271882,0.5408709686866577,0.2027661288320615,0.6074084114956049
Montana,0.6636965376782078,0.6245872237433909,0.6353954811936312,0.1869644774857914,0.7328727123347696,0.14173817448604573,0.2728599402896264
Nebraska,0.6873727087576376,0.6193175156734361,0.27580560794472575,0.6855810070140657,0.3990001636221234,0.25134042640855475,0.14593131837053558
Nevada,0.46512219959266815,0.43772939649973974,0.2378311441602548,0.23312199446128595,0.6308527022790367,0.19032866321965755,0.2707487379738349
New Hampshire,0.39587576374745415,0.7577182741189142,0.9317546546407742,1.0,0.26633192370648134,0.10979976705870013,0.6154533582511995
New Jersey,0.34979633401222004,0.4115161574141137,0.38046635973257975,0.48181460766015494,0.5432780231294394,0.12588436819598472,0.47673620748431145
New Mexico,0.34445010183299396,0.3884898760840303,0.6738728236745578,0.49098611657557517,1.0,0.2124821731166721,0.2974693244193932
New York,0.279786150712831,0.7378846699293484,1.0,0.36727745668564793,0.3891801198574836,0.12428511560857668,0.7493621474646444
North Carolina,0.4719959266802444,0.2188375925758795,0.2947446306073355,0.21909380109425078,0.5561365870296999,0.08076927480799677,0.6412759634598615
North Dakota,0.8818737270875764,0.4701337963705026,0.3223730303197662,0.41389278632519344,0.4074977247211544,0.12738276752006913,0.2889322952067145
Ohio,0.5809572301425663,0.2819945805560704,0.38385403917044586,0.34338266032676734,0.4691118505956751,0.16156231774677382,0.3414077464977072
Oklahoma,0.8615071283095723,0.32111663499762866,0.3898795574298401,0.4879479891451343,0.5582031216429043,0.5911099529676698,0.24514971889382053
Oregon,0.22021384928716903,0.39266871480150456,0.5761280866261385,0.5461817941695024,0.3446808850431653,0.3004753486452082,0.5993896069267578
Pennsylvania,0.4595213849287169,0.32949749236002485,0.3206725287738729,0.40706879930998463,0.30466084251054176,0.1469496071680381,0.4888900816657552
Rhode Island,0.24032586558044805,0.0,0.0,0.0,0.16817133751624053,0.3015059247308788,0.3130114818392961
South Carolina,0.6596232179226069,0.40511839468939204,0.3635883268972757,0.7889344332142731,0.5844429599264048,0.26335838113352183,0.6176233891711125
South Dakota,0.7920061099796335,0.33730447935762176,0.19037634021284697,0.30916191135488225,0.9205982474843486,1.0,0.8309237479032345
