topic,assigned_count,keywords
0,1455739,"matt gaetz, gaetz, attorney general, nomination, matt, primaries, delegates, pence, senate, schumer"
1,631168,"blacks, black, black people, black men, racial, black woman, whites, racist, racism, kkk"
4,600963,"secret service, fbi, hunter laptop, assassination, security, secret, conspiracy theory, impeached, conspiracy, laptop"
2,547518,"israel, palestine, hamas, zionist, gaza, nato, iran, jews, ukraine, foreign policy"
15,477344,"weird, weirdo, weirdos, did, did did, didn, yes did, like did, thought, wtf"
11,473941,"nazi, fascist, hitler, nazis, socialists, fascism, communist, commies, socialist, commie"
6,402726,"convicted felon, felon, felony, felons, convict, felonies, convicted, criminal, conviction, crimes"
27,378080,"reagan, ronald reagan, nixon, presidents, bush, ronald, barack, 1984, conservatism, obamas"
5,374066,"open border, border security, open borders, southern border, border, immigration, deport, borders, illegal immigration, deportation"
9,325638,"milwaukee, rnc2024, chicago, wisconsin, speeches, city, democratic national, rncconvention, delegates, going"
7,274629,"project 2025, project2025, 2025, 2024, 2028, 2022, 2020, agenda, heritage foundation, project"
8,274486,"assassination attempt, attempted assassination, assassination attempts, assassination, assassinated, assassinate, murder, assassin, kill, terrorist"
12,242358,"patriots, patriot, thankful, god bless america, unite, bless america, grateful, thanksgiving, proud, blessed"
3,227565,"women, men, ladies, abortions, abortion, men women, girls, woman, males, gender"
10,212529,"supporters, supporter, supporting, fan, garbage, supports, trolls, support, anti, hate"
22,193158,"win just, win, lose, won win, want win, think win, let win, gonna win, didn win, chance winning"
13,192970,"cult, cult members, cultists, cultist, cult leader, worship, religious, worshipping, religion, church"
20,188124,"soros, big donors, donors, dems, fundraising, billionaires, donations, big money, billionaire, shill"
14,182439,"inflation, gas prices, economics, economy, economic, corporate greed, caused, greed, money, increase"
17,178106,"tax cuts, tax breaks, pay taxes, taxpayers, taxes, tax, social security, irs, fiscal, national debt"
23,168621,"resign, stepping aside, fired, dei hire, step aside, retire, needs step, don, job, hire"
38,116486,"showered, showering, shower, daughter, father, grandson, daughters, dad, child, naked"
32,115547,"teleprompter, deaf, reads, reading, voice, whisper, read, coherent, speak, hearing"
28,101401,"rally, rallies, turnout, crowd, concert, town hall, crowds, concerts, attendance, supporters"
16,95838,"crypto, bitcoin, stock market, wall street, stocks, coin, markets, investors, market, financial"
18,90228,"covid, pandemic, flu, vaccines, vaccine, infected, virus, disease, healthcare, cure"
40,86758,"shit pants, pants, poop, pee, shitting, toilet, fart, bathroom, farts, piss"
29,83154,"beach, sand, vacation, outside, road, south, riding, near, visit, area"
42,75536,"rogan, podcast, radio, episode, jimmy, youtube, alex jones, weekly, don, listen"
25,73895,"student loans, loans, debt, loan, students, institutions, student, college, educated, schools"
37,70880,"mcdonald, mcdonalds, restaurant, burger, starbucks, meal, sandwich, beef, job, lunch"
36,68877,"flag, flags, patriotic, patriot, patriotism, waving, nation, proudly, proud, sticker"
48,61522,"old, older, years old, aged, age, like old, ages, olds, old man, younger"
30,56714,"birthday, 20th, born, happy, january 20th, beautiful, day, june, july, november"
31,55897,"taylor swift, taylor, swift, endorsing, endorses, endorse, just endorsed, oprah, kelly, tim"
34,53549,"george clooney, clooney, george, hollywood, actor, actors, celebrity, celebs, celebrities, michael"
35,52485,"maha, kamalaharris, kamalaharris2024, kamala2024, indian, need, india, maga2024, maga2024 trump2024, trump2024 maga2024"
26,52107,"wearing hat, hat, hats, mask, masks, jacket, wearing, outfit, coat, red hat"
21,50121,"fentanyl, drug, poison, drugs, cocaine, meds, weed, pills, pot, pill"
53,47587,"fake, fakes, cheap fake, deep fake, real, authentic, know real, isn real, actual, genuine"
24,45796,"climate change, climate, earth, planet, change, environment, snow, scientists, nature, crisis"
33,44803,"unions, union, dems, democratic, labor, working class, strike, workers, blue collar, employees"
51,43531,"ashley, diary, katie, read, journal, character, daughter, girl, private, personal"
52,42304,"wake, wake people, waking, awake, asleep, woke, sleeping, sleep, nap, slept"
19,42144,"medicare, medicaid, big pharma, healthcare, pharma, health care, meds, insurance, executive order, drug"
56,40658,"blame, stop blaming, blamed, blames, don blame, blaming, responsibility, accountability, responsible, fault"
44,40610,"race, stay race, races, track, run, running, lose, finish line, win, finish"
41,38805,"china, chinese, russia, usa, communist, america, communists, american, iran, united states"
45,38729,"ads, commercials, commercial, advertising, advertise, effective, cbs, pulled, immediately, free"
43,33817,"school, college, just drop, quitting, drop, dropping, dropped, stop, don, option"
55,33488,"admin, administration, moderators, enabled, comms, policies, installed, problems, don, work"
46,33100,"dog, doge, puppy, pet, animal, vet, dogs, collar, treats, cat"
39,29101,"tim, tommy, timmy, jeff, ryan, running mate, scott, don, harriswalz2024, picked"
57,23313,"puppet, puppets, democracy, pulling strings, government, deep state, stage, evil, surrogate, enemies"
47,20072,"bullseye, said time, time, say time, bulls, bull, shot, shooting, assassinate, said"
50,19825,"tiktok, instagram, tik, tik tok, app, apps, trump2024, tok, devices, election2024"
58,18307,"diddy, celebrity, didn, did, celebrities, oprah, sean, scandal, pedo, knew"
49,18102,"golf, swing, woods, play, tour, playing, plays, clubs, player, course"
54,17209,"cuban, billionaire, ceo, businessman, miami, business, mark, owner, don, marc"
