"model_id","family","label","n_predictors","r2","adj_r2","paths","error"
"macro_subset_23","macro_subsets","DEMLAW + FORPOL + IMMIG",3,0.33081737124207,0.287175025888292,"DEMLAW 0.237; FORPOL -0.436; IMMIG 0.423",NA
"macro_subset_39","macro_subsets","DEMLAW + DOMPOL + FORPOL + IMMIG",4,0.340488369607227,0.281865113572314,"DEMLAW 0.241; DOMPOL 0.106; FORPOL -0.418; IMMIG 0.389",NA
"macro_subset_42","macro_subsets","DEMLAW + ECON + FORPOL + IMMIG",4,0.331178014380744,0.271727171214588,"DEMLAW 0.242; ECON -0.021; FORPOL -0.431; IMMIG 0.422",NA
"macro_subset_45","macro_subsets","DEMLAW + FORPOL + IMMIG + SOCISS",4,0.330846900973546,0.271366625504527,"DEMLAW 0.236; FORPOL -0.435; IMMIG 0.424; SOCISS -0.006",NA
"macro_subset_51","macro_subsets","DEMLAW + DOMPOL + ECON + FORPOL + IMMIG",5,0.341048787439545,0.266167967830403,"DEMLAW 0.246; DOMPOL 0.107; ECON -0.026; FORPOL -0.411; IMMIG 0.388",NA
"macro_subset_54","macro_subsets","DEMLAW + DOMPOL + FORPOL + IMMIG + SOCISS",5,0.340761091075,0.26584757869716,"DEMLAW 0.238; DOMPOL 0.108; FORPOL -0.415; IMMIG 0.392; SOCISS -0.017",NA
"macro_subset_13","macro_subsets","FORPOL + IMMIG",2,0.285709662998228,0.255314329508791,"FORPOL -0.332; IMMIG 0.41",NA
"macro_subset_55","macro_subsets","DEMLAW + ECON + FORPOL + IMMIG + SOCISS",5,0.331217085687251,0.25521902724262,"DEMLAW 0.241; ECON -0.021; FORPOL -0.43; IMMIG 0.424; SOCISS -0.007",NA
"macro_subset_57","macro_subsets","DEMLAW + DOMPOL + ECON + FORPOL + IMMIG + SOCISS",6,0.341361344997318,0.249458276857409,"DEMLAW 0.244; DOMPOL 0.11; ECON -0.027; FORPOL -0.408; IMMIG 0.392; SOCISS -0.019",NA
"macro_subset_29","macro_subsets","DOMPOL + FORPOL + IMMIG",3,0.294105509116666,0.248068911885144,"DOMPOL 0.099; FORPOL -0.314; IMMIG 0.378",NA
"macro_subset_35","macro_subsets","FORPOL + IMMIG + SOCISS",3,0.28678917515349,0.240275425706979,"FORPOL -0.329; IMMIG 0.419; SOCISS -0.034",NA
"macro_subset_32","macro_subsets","ECON + FORPOL + IMMIG",3,0.28642008465776,0.239882264091962,"ECON 0.028; FORPOL -0.342; IMMIG 0.411",NA
"macro_subset_49","macro_subsets","DOMPOL + FORPOL + IMMIG + SOCISS",4,0.296011059231766,0.233434264496812,"DOMPOL 0.104; FORPOL -0.308; IMMIG 0.388; SOCISS -0.046",NA
"macro_subset_46","macro_subsets","DOMPOL + ECON + FORPOL + IMMIG",4,0.294636676917205,0.231937714865401,"DOMPOL 0.098; ECON 0.025; FORPOL -0.322; IMMIG 0.379",NA
"macro_subset_50","macro_subsets","ECON + FORPOL + IMMIG + SOCISS",4,0.287386884248952,0.224043496182192,"ECON 0.026; FORPOL -0.338; IMMIG 0.419; SOCISS -0.032",NA
"macro_subset_56","macro_subsets","DOMPOL + ECON + FORPOL + IMMIG + SOCISS",5,0.296405957369254,0.216452088888487,"DOMPOL 0.103; ECON 0.021; FORPOL -0.316; IMMIG 0.389; SOCISS -0.044",NA
"macro_subset_8","macro_subsets","DOMPOL + IMMIG",2,0.199683234008083,0.165627201412682,"DOMPOL 0.164; IMMIG 0.365",NA
"macro_subset_27","macro_subsets","DOMPOL + ECON + IMMIG",3,0.206771523631169,0.155039231694071,"DOMPOL 0.161; ECON -0.084; IMMIG 0.362",NA
"macro_subset_17","macro_subsets","DEMLAW + DOMPOL + FORPOL",3,0.206089457110103,0.154312682573805,"DEMLAW 0.221; DOMPOL 0.236; FORPOL -0.395",NA
"macro_subset_31","macro_subsets","DOMPOL + IMMIG + SOCISS",3,0.205754696566698,0.153956089821048,"DOMPOL 0.172; IMMIG 0.383; SOCISS -0.081",NA
"macro_subset_18","macro_subsets","DEMLAW + DOMPOL + IMMIG",3,0.203623982855282,0.151686416519757,"DEMLAW 0.063; DOMPOL 0.172; IMMIG 0.367",NA
"macro_subset_11","macro_subsets","ECON + IMMIG",2,0.183554746913325,0.148812395718147,"ECON -0.089; IMMIG 0.414",NA
"macro_subset_37","macro_subsets","DEMLAW + DOMPOL + ECON + IMMIG",4,0.215963040355335,0.146270866164698,"DEMLAW 0.102; DOMPOL 0.173; ECON -0.118; IMMIG 0.363",NA
