"model_id","family","label","n_predictors","r2","adj_r2","paths","error"
"micro_direct_1876","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + TAX + FELON + AUTHORITARIAN",6,0.48962367533859,0.418408374223045,"ISRAEL -0.373; BORDER 0.317; HEALTHCARE 0.206; TAX -0.14; FELON -0.192; AUTHORITARIAN 0.298",NA
"micro_direct_1811","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + HEALTHCARE + FELON + AUTHORITARIAN",6,0.489176217457081,0.417898480358069,"ISRAEL -0.374; BORDER 0.326; FENTANYL -0.129; HEALTHCARE 0.216; FELON -0.225; AUTHORITARIAN 0.224",NA
"micro_direct_957","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + AUTHORITARIAN",5,0.474981190266601,0.415319961887806,"ISRAEL -0.36; BORDER 0.335; HEALTHCARE 0.173; FELON -0.215; AUTHORITARIAN 0.219",NA
"micro_direct_1885","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN",6,0.482177516226076,0.409923216164598,"ISRAEL -0.374; BORDER 0.33; HEALTHCARE 0.183; FELON -0.219; PROJECT2025 0.087; AUTHORITARIAN 0.225",NA
"micro_direct_1846","micro_direct_subsets","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN",6,0.481949994404067,0.409663947111611,"ISRAEL -0.356; BORDER 0.334; INFLATION -0.085; HEALTHCARE 0.188; FELON -0.212; AUTHORITARIAN 0.227",NA
"micro_direct_1807","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + HEALTHCARE + TAX + AUTHORITARIAN",6,0.481184826252785,0.408792011311313,"ISRAEL -0.434; BORDER 0.303; FENTANYL -0.135; HEALTHCARE 0.306; TAX -0.183; AUTHORITARIAN 0.439",NA
"micro_direct_1888","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + AUTHORITARIAN + GENDER",6,0.478149407116001,0.405333045318234,"ISRAEL -0.36; BORDER 0.33; HEALTHCARE 0.196; FELON -0.214; AUTHORITARIAN 0.236; GENDER -0.062",NA
"micro_direct_953","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + TAX + AUTHORITARIAN",5,0.465786035121521,0.405079902748967,"ISRAEL -0.416; BORDER 0.314; HEALTHCARE 0.256; TAX -0.167; AUTHORITARIAN 0.42",NA
"micro_direct_1889","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + AUTHORITARIAN + RACE",6,0.477176649367379,0.404224553930269,"ISRAEL -0.358; BORDER 0.347; HEALTHCARE 0.159; FELON -0.226; AUTHORITARIAN 0.201; RACE -0.051",NA
"micro_direct_1629","micro_direct_subsets","ISRAEL + CHINA + BORDER + HEALTHCARE + FELON + AUTHORITARIAN",6,0.476113627855612,0.403013203835465,"ISRAEL -0.361; CHINA 0.039; BORDER 0.322; HEALTHCARE 0.161; FELON -0.223; AUTHORITARIAN 0.208",NA
"micro_direct_359","micro_direct_subsets","ISRAEL + BORDER + FELON + AUTHORITARIAN",4,0.451364506163276,0.402596906711122,"ISRAEL -0.396; BORDER 0.376; FELON -0.264; AUTHORITARIAN 0.186",NA
"micro_direct_1595","micro_direct_subsets","ISRAEL + CHINA + BORDER + FENTANYL + FELON + RACE",6,0.471839326221146,0.398142488019445,"ISRAEL -0.364; CHINA 0.153; BORDER 0.337; FENTANYL -0.145; FELON -0.379; RACE -0.152",NA
"micro_direct_1813","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + HEALTHCARE + FELON + RACE",6,0.471488948720503,0.397743220634991,"ISRAEL -0.312; BORDER 0.354; FENTANYL -0.145; HEALTHCARE 0.158; FELON -0.351; RACE -0.123",NA
"micro_direct_1842","micro_direct_subsets","ISRAEL + BORDER + INFLATION + HEALTHCARE + TAX + AUTHORITARIAN",6,0.471255829699868,0.39747757337892,"ISRAEL -0.411; BORDER 0.315; INFLATION -0.075; HEALTHCARE 0.266; TAX -0.158; AUTHORITARIAN 0.421",NA
"micro_direct_980","micro_direct_subsets","ISRAEL + BORDER + FELON + AUTHORITARIAN + RACE",5,0.458842157157869,0.397346947743991,"ISRAEL -0.388; BORDER 0.391; FELON -0.276; AUTHORITARIAN 0.159; RACE -0.091",NA
"micro_direct_1899","micro_direct_subsets","ISRAEL + BORDER + TAX + FELON + AUTHORITARIAN + RACE",6,0.470687671901241,0.396830137747925,"ISRAEL -0.403; BORDER 0.386; TAX -0.127; FELON -0.268; AUTHORITARIAN 0.216; RACE -0.122",NA
"micro_direct_967","micro_direct_subsets","ISRAEL + BORDER + TAX + FELON + AUTHORITARIAN",5,0.458079222331682,0.396497315778464,"ISRAEL -0.409; BORDER 0.369; TAX -0.092; FELON -0.254; AUTHORITARIAN 0.234",NA
"micro_direct_1879","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + TAX + PROJECT2025 + AUTHORITARIAN",6,0.470263666891693,0.396346969248673,"ISRAEL -0.427; BORDER 0.311; HEALTHCARE 0.263; TAX -0.161; PROJECT2025 0.069; AUTHORITARIAN 0.423",NA
"micro_direct_910","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + HEALTHCARE + FELON",5,0.457937990156581,0.396340034492557,"ISRAEL -0.299; BORDER 0.327; FENTANYL -0.122; HEALTHCARE 0.18; FELON -0.345",NA
"micro_direct_809","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + AUTHORITARIAN",5,0.457864091721392,0.396257738507914,"ISRAEL -0.393; CHINA 0.089; BORDER 0.34; FELON -0.273; AUTHORITARIAN 0.167",NA
"micro_direct_348","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON",4,0.445205020684569,0.395889911412086,"ISRAEL -0.287; BORDER 0.336; HEALTHCARE 0.141; FELON -0.333",NA
"micro_direct_350","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + AUTHORITARIAN",4,0.444413215670136,0.395027723729704,"ISRAEL -0.406; BORDER 0.337; HEALTHCARE 0.224; AUTHORITARIAN 0.341",NA
"micro_direct_976","micro_direct_subsets","ISRAEL + BORDER + FELON + PROJECT2025 + AUTHORITARIAN",5,0.456177789829296,0.394379811400807,"ISRAEL -0.409; BORDER 0.373; FELON -0.269; PROJECT2025 0.071; AUTHORITARIAN 0.19",NA
"micro_direct_1787","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + INFLATION + HEALTHCARE + AUTHORITARIAN",6,0.468417062664236,0.39424269931506,"ISRAEL -0.417; BORDER 0.325; FENTANYL -0.14; INFLATION -0.116; HEALTHCARE 0.29; AUTHORITARIAN 0.362",NA
"micro_direct_921","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + FELON + AUTHORITARIAN",5,0.455948860023621,0.394124866844487,"ISRAEL -0.408; BORDER 0.376; FENTANYL -0.07; FELON -0.275; AUTHORITARIAN 0.185",NA
"micro_direct_361","micro_direct_subsets","ISRAEL + BORDER + FELON + RACE",4,0.443535349166467,0.394071824647931,"ISRAEL -0.329; BORDER 0.392; FELON -0.357; RACE -0.122",NA
"micro_direct_1883","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + TAX + AUTHORITARIAN + RACE",6,0.468236656019453,0.394037119650074,"ISRAEL -0.417; BORDER 0.326; HEALTHCARE 0.246; TAX -0.181; AUTHORITARIAN 0.414; RACE -0.054",NA
"micro_direct_912","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + HEALTHCARE + AUTHORITARIAN",5,0.455849093989517,0.394013763761053,"ISRAEL -0.421; BORDER 0.328; FENTANYL -0.116; HEALTHCARE 0.263; AUTHORITARIAN 0.351",NA
"micro_direct_1582","micro_direct_subsets","ISRAEL + CHINA + BORDER + FENTANYL + HEALTHCARE + FELON",6,0.467477033304882,0.393171503068353,"ISRAEL -0.316; CHINA 0.113; BORDER 0.288; FENTANYL -0.143; HEALTHCARE 0.155; FELON -0.353",NA
"micro_direct_942","micro_direct_subsets","ISRAEL + BORDER + INFLATION + FELON + AUTHORITARIAN",5,0.454897548560119,0.392954088169223,"ISRAEL -0.395; BORDER 0.378; INFLATION -0.06; FELON -0.264; AUTHORITARIAN 0.19",NA
"micro_direct_1834","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + FELON + AUTHORITARIAN + RACE",6,0.467152640431217,0.392801846072782,"ISRAEL -0.403; BORDER 0.395; FENTANYL -0.097; FELON -0.296; AUTHORITARIAN 0.15; RACE -0.114",NA
"micro_direct_811","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + RACE",5,0.45445539603112,0.392461691034656,"ISRAEL -0.334; CHINA 0.114; BORDER 0.346; FELON -0.356; RACE -0.12",NA
"micro_direct_959","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + RACE",5,0.454158086908588,0.392130596784564,"ISRAEL -0.296; BORDER 0.359; HEALTHCARE 0.117; FELON -0.335; RACE -0.099",NA
"micro_direct_81","micro_direct_subsets","ISRAEL + BORDER + FELON",3,0.429169137172988,0.391941037423401,"ISRAEL -0.326; BORDER 0.37; FELON -0.358",NA
"micro_direct_1593","micro_direct_subsets","ISRAEL + CHINA + BORDER + FENTANYL + FELON + AUTHORITARIAN",6,0.466375568912771,0.391916345970366,"ISRAEL -0.41; CHINA 0.117; BORDER 0.329; FENTANYL -0.099; FELON -0.293; AUTHORITARIAN 0.159",NA
"micro_direct_1785","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + INFLATION + HEALTHCARE + FELON",6,0.466371415043849,0.391911612491828,"ISRAEL -0.293; BORDER 0.325; FENTANYL -0.142; INFLATION -0.095; HEALTHCARE 0.201; FELON -0.348",NA
"micro_direct_1625","micro_direct_subsets","ISRAEL + CHINA + BORDER + HEALTHCARE + TAX + AUTHORITARIAN",6,0.46625156798421,0.391775042586658,"ISRAEL -0.414; CHINA -0.025; BORDER 0.322; HEALTHCARE 0.264; TAX -0.171; AUTHORITARIAN 0.425",NA
"micro_direct_1648","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + PROJECT2025 + AUTHORITARIAN",6,0.466041503180561,0.391535666415058,"ISRAEL -0.41; CHINA 0.113; BORDER 0.327; FELON -0.282; PROJECT2025 0.095; AUTHORITARIAN 0.167",NA
"micro_direct_923","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + FELON + RACE",5,0.453578318396414,0.391484945486916,"ISRAEL -0.349; BORDER 0.396; FENTANYL -0.107; FELON -0.373; RACE -0.146",NA
"micro_direct_1882","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + TAX + AUTHORITARIAN + GENDER",6,0.465880036920929,0.391351669979664,"ISRAEL -0.415; BORDER 0.314; HEALTHCARE 0.26; TAX -0.163; AUTHORITARIAN 0.421; GENDER -0.011",NA
"micro_direct_1652","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + AUTHORITARIAN + RACE",6,0.465744707828993,0.39119745775862,"ISRAEL -0.385; CHINA 0.092; BORDER 0.354; FELON -0.286; AUTHORITARIAN 0.139; RACE -0.093",NA
"micro_direct_1650","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + PROJECT2025 + RACE",6,0.465420224569913,0.390827697765715,"ISRAEL -0.355; CHINA 0.141; BORDER 0.333; FELON -0.367; PROJECT2025 0.111; RACE -0.132",NA
"micro_direct_291","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON",4,0.440527143779111,0.390796223226143,"ISRAEL -0.332; CHINA 0.116; BORDER 0.324; FELON -0.358",NA
"micro_direct_1906","micro_direct_subsets","ISRAEL + BORDER + FELON + PROJECT2025 + AUTHORITARIAN + RACE",6,0.465092422841596,0.390454156261354,"ISRAEL -0.402; BORDER 0.39; FELON -0.283; PROJECT2025 0.081; AUTHORITARIAN 0.161; RACE -0.099",NA
"micro_direct_933","micro_direct_subsets","ISRAEL + BORDER + INFLATION + HEALTHCARE + AUTHORITARIAN",5,0.45235638278709,0.39012415355835,"ISRAEL -0.401; BORDER 0.336; INFLATION -0.09; HEALTHCARE 0.238; AUTHORITARIAN 0.348",NA
"micro_direct_1653","micro_direct_subsets","ISRAEL + CHINA + BORDER + FELON + GENDER + RACE",6,0.464622662676654,0.389918848166419,"ISRAEL -0.338; CHINA 0.158; BORDER 0.342; FELON -0.382; GENDER -0.137; RACE -0.199",NA
"micro_direct_979","micro_direct_subsets","ISRAEL + BORDER + FELON + AUTHORITARIAN + GENDER",5,0.451366067490094,0.389021302432151,"ISRAEL -0.396; BORDER 0.376; FELON -0.264; AUTHORITARIAN 0.186; GENDER -0.001",NA
"micro_direct_1639","micro_direct_subsets","ISRAEL + CHINA + BORDER + TAX + FELON + AUTHORITARIAN",6,0.463383390495222,0.388506654285253,"ISRAEL -0.405; CHINA 0.081; BORDER 0.336; TAX -0.084; FELON -0.264; AUTHORITARIAN 0.213",NA
"micro_direct_1869","micro_direct_subsets","ISRAEL + BORDER + INFLATION + FELON + AUTHORITARIAN + RACE",6,0.463313586335038,0.388427110009694,"ISRAEL -0.386; BORDER 0.394; INFLATION -0.067; FELON -0.277; AUTHORITARIAN 0.162; RACE -0.096",NA
"micro_direct_956","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025",5,0.450829805860883,0.388424101981438,"ISRAEL -0.298; BORDER 0.332; HEALTHCARE 0.148; FELON -0.339; PROJECT2025 0.077",NA
"micro_direct_798","micro_direct_subsets","ISRAEL + CHINA + BORDER + HEALTHCARE + FELON",5,0.45074921547428,0.388334353596358,"ISRAEL -0.298; CHINA 0.084; BORDER 0.308; HEALTHCARE 0.117; FELON -0.337",NA
"micro_direct_785","micro_direct_subsets","ISRAEL + CHINA + BORDER + FENTANYL + FELON",5,0.450679337344493,0.388256534770004,"ISRAEL -0.353; CHINA 0.145; BORDER 0.313; FENTANYL -0.108; FELON -0.375",NA
"micro_direct_960","micro_direct_subsets","ISRAEL + BORDER + HEALTHCARE + PROJECT2025 + AUTHORITARIAN",5,0.450577147442484,0.388142732379129,"ISRAEL -0.42; BORDER 0.332; HEALTHCARE 0.233; PROJECT2025 0.081; AUTHORITARIAN 0.348",NA
"micro_direct_1821","micro_direct_subsets","ISRAEL + BORDER + FENTANYL + TAX + FELON + AUTHORITARIAN",6,0.462960463225716,0.388024713908374,"ISRAEL -0.422; BORDER 0.369; FENTANYL -0.072; TAX -0.094; FELON -0.266; AUTHORITARIAN 0.234",NA
